NSID	W8HHMID	W8DCHSEX	W8HHMDOBM	W8HHMDOBY	W8DHHMAGE	W8RAGE	W8RELTOKEY
NS10972A	1	2	4	1989	26	-1	17
NS10972A	2	2	10	1989	25	-1	17
NS10983W	1	1	1	1953	63	-1	1
NS10983W	2	2	7	1955	60	-1	1
NS10984X	1	1	12	1964	51	-1	1
NS10984X	2	2	9	1966	49	-1	1
NS10984X	3	1	4	1992	23	-1	8
NS10984X	4	2	1	1997	19	-1	8
NS10985Y	1	2	-9	-9	-1	50	1
NS10985Y	2	1	9	1964	51	-1	1
NS10985Y	3	1	5	2003	12	-1	8
NS10991N	1	2	1	1956	59	-1	1
NS10991N	2	1	8	1955	60	-1	1
NS10996T	1	2	2	1966	49	-1	1
NS10996T	2	1	1	1983	32	-1	13
NS10997V	1	2	5	1961	54	-1	1
NS10997V	2	1	4	1961	54	-1	1
NS11002P	1	1	11	1991	24	-1	17
NS11004R	1	1	-9	-9	-1	-8	1
NS11004R	2	2	-9	-9	-1	-8	1
NS11005S	1	2	10	1961	54	-1	1
NS11005S	2	1	9	1957	58	-1	1
NS11005S	3	1	1	1978	38	-1	8
NS11010G	1	1	7	1947	68	-1	1
NS11015M	1	1	2	1987	29	-1	8
NS11016N	1	2	4	1998	18	-1	8
NS11016N	2	2	4	1971	45	-1	1
NS11016N	3	1	12	1967	48	-1	1
NS11019R	1	1	1	1951	65	-1	5
NS11019R	2	2	8	1961	54	-1	5
NS11019R	3	1	1	1988	28	-1	13
NS11019R	4	1	12	2003	12	-1	13
NS11031X	1	1	-9	-9	-1	23	17
NS11031X	2	1	-9	-9	-1	21	17
NS11031X	3	1	-9	-9	-1	24	17
NS11031X	4	1	-9	-9	-1	27	17
NS11031X	5	1	-9	-9	-1	25	17
NS11041R	1	2	1	1962	54	-1	1
NS11041R	2	1	1	1961	55	-1	1
NS11041R	3	2	8	1993	22	-1	8
NS11041R	4	1	10	2015	0	-1	15
NS11042S	1	1	1	1997	19	-1	13
NS11048Z	1	2	-9	-9	-1	29	17
NS11048Z	2	2	-9	-9	-1	30	17
NS11055Q	1	1	9	1952	63	-1	1
NS11055Q	2	2	6	1962	53	-1	1
NS11055Q	3	2	6	1999	16	-1	8
NS11055Q	4	1	10	1993	22	-1	8
NS11058T	1	2	2	1959	56	-1	1
NS11058T	2	1	7	1959	56	-1	1
NS11058T	3	1	7	1994	21	-1	8
NS11064J	1	1	5	1968	47	-1	1
NS11064J	2	1	1	1964	52	-1	1
NS11064J	3	1	10	1991	24	-1	8
NS11066L	1	2	4	1964	51	-1	1
NS11066L	2	1	4	1958	57	-1	1
NS11066L	3	1	8	1993	22	-1	8
NS11071A	1	2	8	1961	54	-1	1
NS11071A	2	1	8	1961	54	-1	1
NS11071A	3	2	4	1987	28	-1	8
NS11071A	4	1	1	1989	26	-1	8
NS11071A	5	2	2	1992	23	-1	8
NS11075E	1	2	5	1954	61	-1	1
NS11075E	2	2	6	1992	23	-1	8
NS11077G	1	2	7	1970	45	-1	1
NS11077G	2	1	2	1968	47	-1	1
NS11077G	3	1	6	1993	22	-1	8
NS11077G	4	1	4	1995	20	-1	8
NS11077G	5	1	10	1997	18	-1	8
NS11077G	6	1	9	2015	0	-1	6
NS11077G	7	2	2	1992	23	-1	13
NS11077G	8	1	6	1978	37	-1	23
NS11082W	1	2	11	1953	62	-1	1
NS11082W	2	2	10	1991	24	-1	8
NS11089D	1	1	9	1990	25	-1	19
NS11090N	1	2	4	1963	52	-1	1
