NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10105Z	2	1	2013	11	8	1	2	2016
NS10105Z	3	2	2011	9	8	1	2	2016
NS10105Z	4	5	2010	9	8	1	2	2016
NS10105Z	5	3	2010	4	8	1	2	2016
NS10105Z	6	6	-8	-8	7	1	6	2010
NS10105Z	7	1	-8	-8	7	1	6	2010
NS10105Z	8	3	-8	-8	7	1	6	2010
NS10105Z	9	3	2009	7	6	1	9	2009
NS10105Z	10	2	2007	9	6	1	9	2009
NS10105Z	11	2	-6	-1	6	1	9	2009
NS10105Z	12	2	2006	-2	4	1	7	2007
NS10107B	1	5	2006	-2	4	1	7	2007
NS10108C	1	2	-7	-7	7	1	5	2010
NS10108C	2	2	2008	9	6	1	6	2009
NS10108C	3	1	2007	4	6	1	6	2009
NS10108C	4	1	2007	9	5	1	6	2008
NS10108C	5	2	2006	9	5	1	6	2008
NS10108C	6	5	2007	2	4	1	7	2007
NS10108C	7	2	2006	9	4	1	7	2007
NS10110N	1	1	-7	-7	7	1	5	2010
NS10110N	2	1	2009	3	6	1	8	2009
NS10110N	3	6	2008	10	6	1	8	2009
NS10110N	4	3	-6	-1	6	1	8	2009
NS10110N	5	6	2008	8	5	1	8	2008
NS10110N	6	3	2006	9	5	1	8	2008
NS10110N	7	3	2007	7	4	1	9	2007
NS10110N	8	6	2006	7	4	1	9	2007
NS10114S	1	1	2009	11	8	1	1	2016
NS10114S	2	1	-8	-8	7	1	7	2010
NS10114S	3	1	-8	-8	7	1	7	2010
NS10114S	4	1	2008	8	6	1	5	2009
NS10114S	5	2	-6	-1	6	1	5	2009
NS10114S	6	2	-5	-1	5	1	6	2008
NS10114S	7	2	2006	-2	4	1	6	2007
NS10115T	1	1	2012	4	8	1	5	2016
NS10115T	2	1	2012	1	8	1	5	2016
NS10115T	3	1	2011	1	8	1	5	2016
NS10115T	4	5	2006	9	8	1	5	2016
NS10115T	5	5	2006	9	5	1	7	2008
NS10115T	6	5	2006	-2	4	1	9	2007
NS10118X	1	4	2014	4	8	1	11	2015
NS10118X	2	1	2013	9	8	1	11	2015
NS10118X	3	1	2010	5	8	1	11	2015
NS10118X	4	3	2010	4	8	1	11	2015
NS10118X	5	3	2009	6	8	1	11	2015
NS10118X	6	1	2009	3	8	1	11	2015
NS10118X	7	6	2008	6	8	1	11	2015
NS10118X	8	1	2007	10	8	1	11	2015
NS10118X	9	1	2007	1	8	1	11	2015
NS10118X	10	1	2006	10	8	1	11	2015
NS10118X	11	3	2006	9	8	1	11	2015
NS10120H	1	1	2014	12	8	1	1	2016
NS10120H	2	1	2012	10	8	1	1	2016
NS10120H	3	1	2012	6	8	1	1	2016
NS10120H	4	1	2009	1	8	1	1	2016
