NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS25709E	12041	120	1.23543097508057	1	7	2008	1	-91	-91	1	-1	-91	-91	1	2	-91	-91	-91	2	2	-91	53	45	1	1	1	2	-91	-91	-91	-91	42	60	1	1	5	5	2	2	1	1	1	2	6	2	6	8.1	2	4
NS25710P	11751	117	.908342758428452	2	9	2008	1	-91	-91	1	1	-91	-91	1	1	1	2	-91	-91	-91	-91	-95	-95	1	1	1	2	-91	-91	-91	-91	23	80	1	1	6	8	3	4	1	1	1	1	6	-94	4.1	16	2	-94
NS25711Q	11413	114	.27744096408607	1	7	2008	1	-91	-91	1	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	1	-91	-91	-91	-91	71	52	1	-98	4	-91	2	-91	1	-91	1	-98	6	-98	10	-98	5	-98
NS25712R	10833	108	1.57932713704284	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	1	1	-91	82	60	1	1	2	2	-91	-91	-91	-91	71	52	1	1	5	6	2	3	1	1	1	2	7	3	12.1	9.1	6	4
NS25713S	11006	110	2.65991770426077	2	8	2008	1	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	7	-91	3	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS25715V	12517	125	.358999237372946	1	7	2008	2	1	-91	1	-1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	7	6	3	3	1	1	0	0	-91	-91	14.3	14.3	8	8
NS25717X	12514	125	1.27998490977782	1	8	2008	1	-91	-91	1	2	-91	-91	1	1	-1	-1	2	-91	-91	-91	-95	40	1	1	2	3	-91	-91	-91	-91	71	52	1	1	6	6	3	3	1	1	1	1	7	-94	12.1	16	6	-94
NS25718Y	12034	120	.415857357087735	1	7	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	-1	2	-91	-91	-91	32	85	1	-98	8	-91	4	-91	1	-91	1	-98	7	-98	4.1	-98	2	-98
NS25719Z	10801	108	.297924463154147	2	9	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	3	-91	-91	-91	-91	61	85	1	-98	5	7	2	3	1	1	1	-98	7	-98	12.2	-98	6	-98
NS25720J	12537	125	1.09544058652913	1	8	2008	1	-91	-91	1	2	-91	-91	1	1	-1	2	-91	-91	-91	-91	-95	85	1	2	-91	-91	-91	2	2	-91	32	85	1	1	6	5	3	2	1	1	2	1	2	-94	4.3	16	2	-94
